Text,Positive Value,Negative Value,Difference,Word Count
" Sometimes you act the biggest fool I ever saw. ù  What you talking about? ù  You scared your sister with that rat and she fainted! Ain t you got no sense at all? ù  Aw, I didn t know she was that scary. ù  Buddy! ù the mother called. Yessum. ù Take a newspaper and spread it over that spot. ù Yessum. ùBuddy opened out a newspaper and covered the smear of blood on the floor where the rat had been crushed. Bigger went to the window and stood looking out abstractedly into the street. His mother glared at his back.  Bigger, sometimes I wonder why I birthed you, ù she said bitterly. Bigger looked at her and turned away.  Maybe you oughtn t ve. Maybe you ought to left me where I was. ù  You shut your sassy mouth! ù  Aw, for Chrissakes! ù Bigger said, lighting a cigarette.  Buddy, pick up them skillets and put  em in the sink, ù the mother said. Yessum. ùBigger walked across the floor and sat on the bed. His mother s eyes followed him.  We wouldn t have to live in this garbage dump if you had any manhood in you, ù she said.  Aw, don t start that again. ù  How you feel, Vera? ù the mother asked. Vera raised her head and looked about the room as though expecting to see another rat.  Oh, Mama! ù  You poor thing! ù  I couldn t help it. Bigger scared me. ù  Did you hurt yourself? ù  I bumped my head. ù  Here; take it easy. You ll be all right. ù  How come Bigger acts that way? ù Vera asked, crying again.  He s just crazy, ù the mother said.  Just plain dumb black crazy. ù  I ll be late for my sewing class at the Y.W.C.A., ù Vera said.  Here; stretch out on the bed. You ll feel better in a little while, ù the mother said. She left Vera on the bed and turned a pair of cold eyes upon Bigger.  Suppose you wake up some morning and find your sister dead? What would you think then? ù she asked.  Suppose those rats cut our veins at night when we sleep? Naw! Nothing like that ever bothers you! All you care about is your own pleasure! Even when the relief offers you a job you won t take it till they threaten to cut off your food and starve you! Bigger, honest, you the most no-countest man I ever seen in all my life! ù  You done told me that a thousand times, ù he said, not looking round.  Well, I m telling you agin! And mark my word, some of these days you going to set down and cry. Some of these days you going to wish you had made something out of yourself, instead of just a tramp. But it ll be too late then. ù Stop prophesying about me, ù he said.  I prophesy much as I please! And if you don t like it, you can get out. We can get along without you. We can live in one room just like we living now, even with you gone, ù she said. Aw, for Chrissakes! ù he said, his voice filled with ",0.034693878,0.036734694,-0.002040816,546
nervous ,0.5,0.5,0,1
irritation. ,0.5,0.5,0,1
" You ll regret how you living some day, ù she went on. ""If you don t stop running with that gang of yours and do right you ll end up where you never thought you would. You think I don t know what you boys is doing, but I do. And the gallows is at the end of the road you traveling, boy. Just remember that. ù She turned and looked at Buddy.  Throw that box outside, Buddy. ù Yessum. ùThere was silence. Buddy took the box out. The mother went behind the curtain to the gas stove. Vera sat up in bed and swung her feet to the floor.  Lay back down, Vera, ù the mother said.  I feel all right now, Ma. I got to go to my sewing class. ù  Well, if you feel like it, set the table, ù the mother said, going behind the curtain again.  Lord, I get so tired of this I don t know what to do, ù her voice floated plaintively from behind the curtain.  All I ever do is try to make a home for you children and you don t care. ù  Aw, Ma, ù Vera protested.  Don t say that. ù  Vera, sometimes I just want to lay down and quit. ù  Ma, please don t say that. ù  I can t last many more years, living like this. ù  I ll be old enough to work soon, Ma. ù  I reckonI ll be dead then. I reckon God ll call me home. ù Vera went behind the curtain and Bigger heard her trying to comfort his mother. He shut their voices out of his mind. He",0.02,0.024,-0.004,279
hated,0,0,0,1
his family because he knew that they were suffering and that he was ,0.071428571,0.071428571,0,13
powerless ,0.5,0.5,0,1
"to help them. He knew that the moment he allowed himself to feel to its fullness how they lived, the shame and misery of their lives, he would be swept out of himself with",0.029411765,0.058823529,-0.029411765,34
fear ,0.5,0.5,0,1
and ,0.5,0,0.5,1
despair. ,0.5,0.5,0,1
"So he held toward them an attitude of iron reserve; he lived with them, but behind a wall, a curtain. And toward himself he was even more exacting. He knew that the moment he allowed what his life meant to enter fully into his consciousness, he would either kill himself or someone else. So he ",0.035714286,0.017857143,0.017857143,55
denied ,0.5,0,0.5,1
himself and acted ,0.25,0,0.25,3
tough. ,0.5,0,0.5,1
"He got up and crushed his cigarette upon the window sill. Vera came into the room and placed knives and forks upon the table. Get ready to eat, you-all, ù the mother called. He sat at the table. The odor of frying bacon and boiling coffee drifted to him from behind the curtain. His mother s voice floated to him in song. Life is like a mountain railroad With an engineer that s braveŒæWe must make the run successfulŒæFrom the cradle to the grave _. The song ",0.024096386,0.012048193,0.012048193,87
irked ,0.5,0,0.5,1
him and he was ,0.2,0,0.2,4
glad ,1,0,1,1
"when she stopped and came into the room with a pot of coffee and a plate of crinkled bacon. Vera brought the bread in and they sat down. His mother closed her eyes and lowered her head and mumbled,  Lord, we thank Thee for the food You done placed before us for the nourishment of our bodies. Amen. ù She lifted her eyes and without changing her tone of voice, said,  You going to have to learn to get up earlier than this, Bigger, to hold a job. ù He did not answer or look up.  You want me to pour you some coffee? ù Vera asked.  Yeah. ù  You going to take the job, ain t you, Bigger? ù his mother asked. He laid down his fork and stared at her.  I told you last night I was going to take it. How many times you want to ask me? ù  Well, don t bite her head off, ù Vera said.  She only asked you a question. ù  Pass the bread and stop being smart. ù  You know you have to see Mr. Dalton at five-thirty, ù his mother said.  You done said that ten times. ù  I don t want you to forget, son. ù  And you know how you can forget, ù Vera said.  Aw, lay off Bigger, ù Buddy said.  He told you he was going to take the job. ù  Don t tell  em nothing, ù Bigger said.  You shut your mouth, Buddy, or get up from this table, ù the mother said.  I m not going to take any stinking sass from you. One fool in the family s enough. ù  Lay off, Ma, ù Buddy said.  Bigger s setting here like he ain t glad to get a job, ù she said.  What you want me to do? Shout? ù Bigger asked.  Oh, Bigger! ù his sister said.  I wish you d keep your big mouth out of this! ù he told his sister.  If you get that job, ù his mother said in a low, kind tone of voice, busy slicing a loaf of bread,  I can fix up a nice place for you children. You could be comfortable and not have to live like pigs. ù  Bigger ain t decent enough to think of nothing like that, ù Vera said.  God, I wish you-all would let me eat, ù Bigger said. His mother talked on as though she had not heard him and he stopped listening.  Ma s talking to you, Bigger, ù Vera said.  So what? ù  Don t be that way, Bigger! ù He laid down his fork and his strong black fingers gripped the edge of the table; there was silence save for the tinkling of his brother s fork against a plate. He kept staring at his sister till her eyes fell.  I wish you d let me eat, ù he said again. As he ate",0.024774775,0.022522523,0.002252252,489
he felt that they were thinking of the job he was to get that evening ,0.0625,0,0.0625,15
and it made him ,0.2,0,0.2,4
angry; ,0.5,0.5,0,1
he felt that they had tricked him into a cheap surrender. ,0.083333333,0.166666667,-0.083333333,11
" I need some carfare, ù he said.  Here s all I got, ù his mother said, pushing a quarter to the side of his plate. He put the quarter in his pocket and drained his cup of coffee in one long swallow. He got his coat and cap and went to the door. You know, Bigger, ù his mother said,  if you don t take that job the relief ll cut us off. We won t have any food. ù  I told you I d take it! ù he shouted and slammed the door. He went down the steps into the vestibule and stood looking out into the street through the plate glass of the front door. Now and then a street car rattled past over steel tracks. He was ",0.008333333,0.016666667,-0.008333333,130
sick ,0.5,0.5,0,1
"of his life at home. Day in and day out there was nothing but shouts and bickering. But what could he do? Each time he asked himself that question his mind hit a blank wall and he stopped thinking. Across the street directly in front of him, he saw a truck pull to a stop at the curb and two white men in overalls got out with pails and brushes. Yes, he could take the job at Dalton s and be miserable, or he could refuse it and starve. It ",0.022222222,0.033333333,-0.011111111,90
maddened ,0.5,0,0.5,1
"him to think that he did not have a wider choice of action. Well, he could not stand here all day like this. What was he to do with himself? He tried to decide if he wanted to buy a ten-cent magazine, or go to a movie, or go to the poolroom and talk with the gang, or just loaf around. With his hands deep in his pockets, another cigarette slanting across his chin, he brooded and watched the men at work across the street. They were pasting a huge colored poster to a signboard. The poster showed a white face.  That s Buckley! ù He spoke softly to himself.  He s running for State s Attorney again. ù The men were slapping the poster with wet brushes. He looked at the round florid face and wagged his head.  I bet that sonofabitch rakes off a million bucks in graft a year. Boy, if I was in his shoes for just one day I d never have to worry again. ù When the men were through they gathered up their pails and brushes and got into the truck and drove off. He looked at the poster: the white face was fleshy but stern; one hand was uplifted and its index finger pointed straight out into the street at each passer-by. The poster showed one of those faces that looked straight at you when you looked at it and all the while you were walking and turning your head to look at it it kept looking unblinkingly back at you until you got so far from it you had to take your eyes away, and then it stopped, like a movie blackout. Above the top of the poster were tall red letters: YOU CAN T WIN! He snuffed his cigarette and laughed silently.  You crook, ù he mumbled, shaking his head.  You let whoever pays you off win! ù He opened the door and met the morning air. He went along the sidewalk with his head down, fingering the quarter in his pocket. He stopped and searched all of his pockets; in his vest pocket he found a lone copper cent. That made a total of twenty-six cents, fourteen cents of which would have to be saved for carfare to Mr. Dalton s; that is, if he decided to take the job. In order to buy a magazine and go to the movies he would have to have at least twenty cents more. Goddammit, I m always broke! ù he mumbled. He stood on the corner in the sunshine, watching cars and people pass. He needed more money; if he did not get more than he had now he would not know what to do with himself for the rest of the day. He wanted to see a movie; his senses ",0.021881838,0.015317287,0.006564551,470
hungered ,0.5,0,0.5,1
"for it. In a movie he could dream without effort; all he had to do was lean back in a seat and keep his eyes open. He thought of Gus and G.H. and Jack. Should he go to the poolroom and talk with them? But there was no use in his going unless they were ready to do what they had been long planning to do. If they could, it would mean some sure and quick money. From three o clock to four o clock in the afternoon there was no policeman on duty in the block where Blum s Delicatessen was and it would be safe. One of them could hold a gun on Blum and keep him from yelling; one could watch the front door; one could watch the back; and one could get the money from the box under the counter. Then all four of them could lock Blum in the store and run out through the back and duck down the alley and meet an hour later, either at Doc s poolroom or at the South Side Boys  Club, and split the money. Holding up Blum ought not take more than two minutes, at the most. And it would be their last job. But it would be the toughest one that they had ever pulled. All the other times they had raided newsstands, fruit stands, and apartments. And, too, they had never held up a white man before. They had always robbed Negroes. They felt that it was much easier and safer to rob their own people, for they knew that white policemen never really searched diligently for Negroes who committed crimes against other Negroes. For months they had talked of robbing Blum s, but had not been able to bring themselves to do it. They had the feeling that the robbing of Blum s would be a violation of ultimate taboo; it would be a trespassing into territory where the full wrath of an alien white world would be turned loose upon them; in short, it would be a symbolic challenge of the white world s rule over them; a challenge which they yearned to make, but were ",0.039215686,0.028011204,0.011204482,363
afraid ,0.5,0.5,0,1
"to. Yes; if they could rob Blum s, it would be a real hold-up, in more senses than one. In comparison, all of their other jobs had been play.  Good-bye, Bigger. ù He looked up and saw Vera passing with a sewing kit dangling from her arm. She paused at the corner and came back to him.  Now, what you want? ù  Bigger, please _. You re getting a good job now. Why don t you stay away from Jack and Gus and G.H. and keep out of trouble? ù  You keep your big mouth out of my business! ù  But, Bigger! ù  Go on to school, will you! ù She turned abruptly and walked on. He knew that his mother had been talking to Vera and Buddy about him, telling them that if he got into any more trouble he would be sent to prison and not just to the reform school, where they sent him last time. He did not mind what his mother said to Buddy about him. Buddy was all right. Tough, plenty. But Vera was a sappy girl; she did not have any more sense than to believe everything she was told. He walked toward the poolroom. When he got to the door he saw Gus half a block away, coming toward him. He stopped and waited. It was Gus who had first thought of robbing Blum s.  Hi, Bigger! ù  What you saying, Gus? ù  Nothing. Seen G.H. or Jack yet? ù Naw. You? ù Naw. Say, got a cigarette? ù  Yeah. ù Bigger took out his pack and gave Gus a cigarette; he lit his and held the match for Gus. They leaned their backs against the red-brick wall of a building, smoking, their cigarettes slanting white across their black chins. To the east Bigger saw the sun burning a dazzling yellow. In the sky above him a few big white clouds drifted. He puffed silently, ",0.039344262,0.016393443,0.02295082,323
"relaxed, ",1,0,1,1
his mind ,0.333333333,0,0.333333333,2
pleasantly ,1,0,1,1
vacant of purpose. Every slight movement in the street evoked a casual ,0.076923077,0.076923077,0,12
curiosity ,0.5,0,0.5,1
"in him. Automatically, his eyes followed each car as it whirred over the smooth black asphalt. A woman came by and he watched the gentle sway of her body until she disappeared into a doorway. He sighed, scratched his chin and mumbled, Kinda warm today. ù  Yeah, ù Gus said.  You get more heat from this sun than from them old radiators at home. ù  Yeah; them old white landlords sure don t give much heat. ù  And they always knocking at your door for money. ù  I ll be glad when summer comes. ù  Me too, ù Bigger said. He stretched his arms above his head and yawned; his eyes moistened. The sharp precision of the world of steel and stone dissolved into blurred waves. He blinked and the world grew hard again, mechanical, distinct. A weaving motion in the sky made him turn his eyes upward; he saw a slender streak of billowing white blooming against the deep blue. A plane was writing high up in the air.  Look! ù Bigger said.  What? ù  That plane writing up there, ù Bigger said, pointing.  Oh! ù They squinted at a tiny ribbon of unfolding vapor that spelled out the word: USE _. The plane was so far away that at times the strong glare of the sun blanked it from sight.  You can hardly see it, ù Gus said.  Looks like a little bird, ù Bigger breathed with childlike wonder.  Them white boys sure can fly, ù Gus said.  Yeah, ù Bigger said, wistfully.  They get a chance to do everything. ù Noiselessly, the tiny plane looped and veered, vanishing and appearing, leaving behind it a long trail of white plumage, like coils of fluffy paste being squeezed from a tube; a plume-coil that grew and swelled and slowly began to fade into the air at the edges. The plane wrote another word: SPEED _. How high you reckon he is? ù Bigger asked.  I don t know. Maybe a hundred miles; maybe a thousand. ù  I could fly one of them things if I had a chance, ù Bigger mumbled ",0.051987768,0.033639144,0.018348624,352
"reflectively, ",0.5,0,0.5,1
"as though talking to himself. Gus pulled down the corners of his lips, stepped out from the wall, squared his shoulders, doffed his cap, bowed low and spoke with mock deference: Yessuh. ù You go to hell, ù Bigger said, smiling. Yessuh, ù Gus said again.  I could fly a plane if I had a chance, ù Bigger said.  If you wasn t black and if you had some money and if they d let you go to that aviation school, you could fly a plane, ù Gus said. For a moment Bigger contemplated all the  its ù that Gus had mentioned. Then both boys broke into hard laughter, looking at each other through squinted eyes. When their laughter subsided, Bigger said in a voice that was half-question and half-statement:  It s funny how the white folks treat us, ain t it? ù  It better be funny, ù Gus said.  Maybe they right in not wanting us to fly, ù Bigger said.   Cause if I took a plane up I d take a couple of bombs along and drop  em as sure as hell _. ùThe plane sailed and dipped and spread another word against the sky: GASOLINE _. Use Speed Gasoline, ù Bigger mused, rolling the words slowly from his lips.  God, I d like to fly up there in that sky. ù God ll let you fly when He gives you your wings up in heaven, ù Gus said. They laughed again, reclining against the wall, smoking, the lids of their eyes drooped softly against the sun. Cars whizzed past on rubber tires. Bigger s face was metallically black in the strong sunlight. There was in his eyes a pensive, brooding ",0.03125,0.05078125,-0.01953125,283
"amusement, ",1,0,1,1
"as of a man who had been long confronted and tantalized by a riddle whose answer seemed always just on the verge of escaping him, but prodding him irresistibly on to seek its solution. The silence ",0.081081081,0,0.081081081,36
irked ,0.5,0,0.5,1
Bigger; he was ,0.25,0,0.25,3
anxious ,0.5,0.5,0,1
"to do something to evade looking so squarely at this problem.  Let s play  Öwhite,  ù Bigger said, referring to a game of play-acting in which he and his friends imitated the ways and manners of white folks.  I don t feel like it, ù Gus said.  General! ù Bigger pronounced in a sonorous tone, looking at Gus ",0.074074074,0.037037037,0.037037037,58
expectantly. ,0.5,0,0.5,1
" Aw, hell! I don t want to play, ù Gus whined.  You ll be court-martialed, ù Bigger said, snapping out his words with military precision.  Nigger, you nuts! ù Gus laughed.  General! ù Bigger tried again, ",0.064516129,0.032258065,0.032258065,36
determinedly. ,0.5,0,0.5,1
"Gus looked wearily at Bigger, then straightened, saluted and answered: Yessuh. ù Send your men over the river at dawn and attack the enemy s left flank, ù Bigger ordered. Yessuh. ù Send the Fifth, Sixth, and Seventh Regiments, ù Bigger said, frowning.  And attack with tanks, gas, planes, and infantry. ù Yessuh! ù Gus said again, saluting and clicking his heels. For a moment they were silent, facing each other, their shoulders thrown back, their lips compressed to hold down the mounting impulse to laugh. Then they guffawed, partly at themselves and partly at the vast white world that sprawled and towered in the sun before them.  Say, what s a  Öleft flank ? ù Gus asked.  I don t know, ù Bigger said.  I heard it in the movies. ù They laughed again. After a bit they relaxed and leaned against the wall, smoking. Bigger saw Gus cup his left hand to his ear, as though holding a telephone receiver; and cup his right hand to his mouth, as though talking into a transmitter.  Hello, ù Gus said.  Hello, ù Bigger said.  Who s this? ù  This is Mr. J. P. Morgan speaking, ù Gus said. Yessuh, Mr. Morgan, ù Bigger said; his eyes filled with mock adulation and respect.  I want you to sell twenty thousand shares of U.S. Steel in the market this morning, ù Gus said. At what price, suh? ù Bigger asked.  Aw, just dump  em at any price, ù Gus said with casual irritation.  We re holding too much. ù  Yessuh, ù Bigger said.  And call me at my club at two this afternoon and tell me if the President telephoned, ù Gus said. Yessuh, Mr. Morgan, ù Bigger said.Both of them made gestures signifying that they were hanging up telephone receivers; then they bent double, laughing.  I bet that s just the way they talk, ù Gus said.  I wouldn t be surprised, ù Bigger said. They were silent again. Presently, Bigger cupped his hand to his mouth and spoke through an imaginary telephone transmitter.  Hello. ù  Hello, ù Gus answered.  Who s this? ù  This is the President of the United States speaking, ù Bigger said.  Oh, yessuh, Mr. President, ù Gus said.  I m calling a cabinet meeting this afternoon at four o clock and you, as Secretary of State, must be there. ù  Well, now, Mr. President, ù Gus said,  I m pretty busy. They raising sand over there in Germany and I got to send  em a note _. ù But this is important, ù Bigger said.  What you going to take up at this cabinet meeting? ù Gus asked.  Well, you see, the niggers is raising sand all over the country, ù Bigger said, struggling to keep back his laughter.  We ve got to do something with these black folks _. ù Oh, if it s about the niggers, I ll be right there, Mr. President, ù Gus said. They hung up imaginary receivers and leaned against the wall and laughed. A street car rattled by. Bigger sighed and swore.  Goddammit! ù  What s the matter? ù  They don t let us do nothing. ù  Who? ù  The white folks. ù  You talk like you just now finding that out, ù Gus said.  Naw. But I just can t get used to it, ù Bigger said.  I swear to God I can t. I know I oughtn t think about it, but I can t help it. Every time I think about it I feel like somebody s poking a red-hot iron down my throat. Goddammit, look! We live here and they live there. We black and they white. They got things and we ain t. They do things and we can t. It s just like living in jail. Half the time I feel like I m on the outside of the world peeping in through a knothole in the fence _. ù Aw, ain t no use feeling that way about it. It don t help none, ù Gus said.  You know one thing? ù Bigger said.  What? ù  Sometimes I feel like something awful s going to happen to me, ù Bigger spoke with a tinge of ",0.030995106,0.030995106,0,703
bitter ,0.5,0.5,0,1
pride ,1,0,1,1
"in his voice.  What you mean? ù Gus asked, looking at him quickly. There was ",0.066666667,0,0.066666667,15
fear ,0.5,0.5,0,1
"in Gus s eyes. I don t know. I just feel that way. Every time I get to thinking about me being black and they being white, me being here and they being there, I feel like something awful s going to happen to me _. ù Aw, for Chrissakes! There ain t nothing you can do about it. How come you want to worry yourself? You black and they make the laws _. ù Why they make us live in one corner of the city? Why don t they let us fly planes and run ships _. ùGus hunched Bigger with his elbow and mumbled good-naturedly,  Aw, nigger, quit thinking about it. You ll go nuts. ù The plane was gone from the sky and the white plumes of floating smoke were thinly spread, vanishing. Because he was restless and had time on his hands, Bigger yawned again and hoisted his arms high above his head.  Nothing ever happens, ù he complained.  What you want to happen? ù  Anything, ù Bigger said with a wide sweep of his dingy palm, a sweep that included all the possible activities of the world. Then their eyes were riveted; a slate-colored pigeon swooped down to the middle of the steel car tracks and began strutting to and fro with ruffled feathers, its fat neck bobbing with regal pride. A street car rumbled forward and the pigeon rose swiftly through the air on wings stretched so taut and sheer that Bigger could see the gold of the sun through their translucent tips. He tilted his head and watched the slate-colored bird flap and wheel out of sight over the edge of a high roof.  Now, if I could only do that, ù Bigger said. Gus laughed.  Nigger, you nuts. ù  I reckon we the only things in this city that can t go where we want to go and do what we want to do. ù  Don t think about it, ù Gus said.  I can t help it. ù  That s why you feeling like something awful s going to happen to you, ù Gus said.  You think too much. ù  What in hell can a man do? ù Bigger asked, turning to Gus.  Get drunk and sleep it off. ù  I can t. I m broke. ù Bigger crushed his cigarette and took out another one and offered the package to Gus. They continued smoking. A huge truck swept past, lifting scraps of white paper into the sunshine; the bits settled down slowly. Gus? ù Hunh? ù You know where the white folks live? ù  Yeah, ù Gus said, pointing eastward.  Over across the  Öline ; over there on Cottage Grove Avenue. ù  Naw; they don t, ù Bigger said.  What you mean? ù Gus asked, ",0.031100478,0.023923445,0.007177033,465
puzzled. ,0.5,0.5,0,1
" Then, where do they live? ù Bigger doubled his fist and struck his solar plexus.  Right down here in my stomach, ù he said. Gus looked at Bigger searchingly, then away, as though ",0.03125,0.0625,-0.03125,33
ashamed. ,0.5,0.5,0,1
" Yeah; I know what you mean, ù he whispered.  Every time I think of  em, I feel  em, ù Bigger said.  Yeah; and in your chest and throat, too, ù Gus said.  It s like fire. ù  And sometimes you can t hardly breathe _. ùBigger s eyes were wide and placid, gazing into space.  That s when I feel like something awful s going to happen to me _. ù Bigger paused, narrowed his eyes.  Naw; it ain t like something going to happen to me. It s _. It s like I was going to do something I can t help _. ù Yeah! ù Gus said with uneasy ",0.033333333,0.022222222,0.011111111,111
eagerness. ,1,0,1,1
His eyes were full of a look compounded of ,0.1,0,0.1,9
fear ,0.5,0.5,0,1
and ,0.5,0,0.5,1
admiration ,1,0,1,1
